DESCRIPTION,NAME,ID,LOCALE
Classic Staple Remover in bright red; removes staples and pins easily; safe and easy to use with contoured grip.,Staple Remover,a35b1d64-54eb-3dc6-a0e4-6913633b805a,en
Pack of 3 designer coat hook. Heavy-duty stainless steel hooks in a stylish shape.,Designer Coat Hooks - Pack of 3,a376e380-00e8-3d90-ba9f-c332c2df0f28,en
Classic large wire paper clips (50mm) in high quality to keep your important documents together and organised; Great value pack of 100 paper clips.,Wire Paper Clips 50mm - Silver - Pack of 100,a518c3a8-af8b-3877-819a-9392782d0c20,en
Clipboard with PVC cover and metal clip.,Clipboard - Assorted - Pack of 4,a5941b81-5a6c-3ad0-81bf-06d50851ea8a,en
"Set of high-quality hangers with coated surface, trouser bar - anti slip. Super slim design - space saving - The hooks can be rotated through 360 degree rotation, practical for various room situations. Material: ABS (plastic); Colour: assorted (2 of each pink, grey, blue green, black).",Coat Hangers,a6756d40-792e-34c9-8b2e-df3acb0c54b4,en
"With 6 Ply twines, this rope is strong and durable, you do not worry about any damage of the items due to the bundling and hanging - the rope is simply perfect for packing material; SIZE: 6ply 100m with the diameter 0.091 inch (2.32mm) and 7.6oz(216g) for the weight; WARRANTY: We offer 100% money back guarantee.",Strong Industrial Rope - 100m,a8469b8d-80ae-36b6-b6bd-8fe5d34dc381,en
Security Badge Holder with Name Badge & 850mm Reel - Pack of 10; Badge of white strong acrylic; for ID cards WxH 90x54mm Badge reel length: 85cm.,Security Badge Holder and Reel - Pack of 10,a879e1b2-64d6-3545-8f62-932bf0009aae,en
Multipurpose Coloured Paper ideal for volume copying and printing suitable for all office machines; available in a large range of colours; 80gsm.,Printer Paper - Pink - 250 Sheets,a9c4b7cb-c39a-3f91-bf5f-3e654e8ba857,en
"Classic highlighter for marking text and highlighting important information. Chisel tip provides 2 line widths of 2 and 5mm for a range of tasks such as writing, underlining or highlighting. Flat-shaped barrel that will not roll away. Up to 4 hours cap-off time; Highlight up to 375m; Water-based ink; Easily refillable.",Highlighter - Pink,aa4074a6-facd-3f53-8c47-994fb02e1ecd,en
Great value stackable paper tray.,Paper Tray - Black,ab0a547c-4653-3bb3-ae93-7713f64f7801,en
Multipurpose Coloured Paper ideal for volume copying and printing suitable for all office machines; available in a large range of colours; 80gsm.,Printer Paper - Light Green - 250 Sheets,adc56781-fd97-3d5f-835d-21237e23daa2,en
"Self-adhesive repositionable notes, that will stick to virtually any surface; dimensions: 7.6cmx7.6cm (3inx3in); pack of 8 pads: two pads each of neon yellow and neon green and one pad each of ultra blue, neon orange, ultra fuchsia and neon pink; each pack 90 sheets.",Sticky Notes - Assorted - Pack of 8,ae2a6152-3a60-34a5-a449-319b1be2e733,en
Clipboard with PVC cover and metal clip.,Clipboard - Turquoise,ae4f9d81-77d7-35e8-b886-8a981e6f538f,en
High quality metal no. 56 Staples (26/6mm) - Box of 5000.,High quality No. 56 Staples (26/6mm) - Box of 5000,ae8efaf6-45b8-382b-9d14-567b99681bb0,en
"Classic desk lamp with flexible swivel arm which allows you to shine the light on your pages, books and screen. LED bulb with very low electric consumption; 30,000h lifetime bulb 8W, 750lumens; Flexible and small; Colour: Silver.",Table Lamp,b1267ac4-21d2-30bb-bbe0-4977ba73d90d,en
"High-quality heavy-duty removal box of twin-fluted corrugated board ideal for heavy or fragile goods; the box is easy to construct and securely closed, no tape required; clear labelling areas and convenient pre-cut handles; flat-packed in packs of 10; 400x320x330mm.",Removal Storage Boxes - Pack of 10,b200ba62-05c8-3d92-9201-1cde381eb410,en
Stylish office pencil holder of stainless steel with a non-scratch rubber base holding up to 40 pens; Cylindrical design; long live guaranteed.,Premium Pencil Holder,b364569a-4467-302b-99a1-e6613ba64486,en
Non-hazardous dry-wipe cleaning spray for all board surfaces; 250ml.,Dry-Wipe Cleaning Pump Spray - 250ml,b4cce702-583f-352f-bce7-f7461776867c,en
"Stylish filing cabinet made of strong ABS material, non-toxic, odour-free, moistureproof and anti-corrosive; Drawers feature a 100% opening extension, allowing easy access to all files; Accepts foolscap suspension files; Central locking system secures all two drawers with a single key; Supplied with two keys; Smart flush-fitting handles and fitted label-holder; 3 vibrant colours.",Filing Cabinet - 2 drawers,b56810ea-a9ea-306a-b868-17f485e398c3,en
Exclusive lightweight dry-wipe whiteboard with durable aluminium frame.,Dry-Wipe Whiteboard,b68484ee-655e-3709-87dc-5e5a60f398b4,en
Modern design desk dispenser in an eye catching red & black contrast; easy to load with weighted base for easy one handed dispensing. Non-slip base; Including 12 rolls of high quality clear tape; For tapes up to 25mm wide and up to 66m long.,Desktop Tape Dispenser - 25mm Width Capacity with 12 Rolls Clear Tape,b7e45e2e-8d50-34b3-ba1e-69fece91dcd3,en
This desk lamp from Unilux is black in colour and the flexible arm makes the lamp easy to adjust so that the light falls precisely where it is needed.,Table Lamp,b878819c-4dc4-328f-8f53-aba0e35588de,en
Multipurpose Coloured Paper ideal for volume copying and printing suitable for all office machines; available in a large range of colours; 80gsm.,Printer Paper - Dark Blue - 250 Sheets,b8bf28a2-5980-331e-a79b-09fb58cb9ca6,en
Shock resistant polystyrene letter tray in attractive bright colours and modern design.,Paper Tray - Orange,bafb1952-8c02-3f77-972a-5d5258a98e58,en
Multipurpose Coloured Paper ideal for volume copying and printing suitable for all office machines; available in a large range of colours; 80gsm.,Printer Paper - Light Blue - 250 Sheets,bc095c95-5f03-3c8f-ac9b-f1407ad10225,en
Durable plastic canister single-hole sharpener for standard 8mm diameter pencils with a sharp blade producing a precise point.,Single-hole Pencil Sharpener - Blue,bc724ace-e4e2-36e1-b4b5-89216c7de2c2,en
"Premium laminated lever arch file with spine label, two metal rings and locking compressor bar; Reinforced bottom edge; Metal thumb hole for easy retrieval from shelves; Spine Width: 80mm.",Lever Arch File - Black,bc7a11db-dfbc-3c54-b7fb-87184a4ecf40,en
"Stylish filing cabinet made of strong ABS material, non-toxic, odour-free, moistureproof and anti-corrosive; Drawers feature a 100% opening extension, allowing easy access to all files; Accepts foolscap suspension files; Central locking system secures all four drawers with a single key; Supplied with two keys; Smart flush-fitting handles and fitted label-holder; 3 vibrant colours.",Filing Cabinet - 4 drawers,be7cbdf5-5fcc-30be-b9bf-31c7d691507a,en
"Great value wirebound notepad (sidebound); high quality white 80gsm paper; faint ruling; four-hole punched for easy filing; paper size: A4 (210X297mm) (8.25X11.75in), page perforated 14mm in, torn-out page will be narrower; 200 pages (100 sheets) per pad.",Wirebound Notepad - Ruled - Pack of 10,c0c43197-e4c9-3d15-8fe9-81704a496536,en
"Contemporary, eye-appealing visitor chair; Seat in vibrant colours on an attractive light-weight wood and metal base; Tough, hard wearing nylon seat structure means that the chair is easy to clean; Ideal visitor and breakout chair; These chairs are stackable and come in a pack of 4; Stylish, practical and comfortable.",Stacking Chair - Black,c0ce7a1b-9920-3503-8672-5607d3b78e76,en
Transparent Hand Stretch Film which is applied by hand; Used for secure wrapping; Holds goods firm on pallets during storage and transit.,Pallet Stretch Shrink Wrap - Clear,c4f89f04-d675-318c-9372-2d804674f2e2,en
"General purpose anti-static pre-moistened wipes. Suitable for use on all screens, casings, keyboards etc. Non-hazardous/biodegradable. Non-flammable. Suitable for use on all screens, casings, keyboards etc. Anti-static. Skin safe. Wet wipes available in a tub of 100.",Screen Cleaning Wipes,c5417761-be84-3fa3-bf98-59df1ba13e19,en
Striking and stylish magazine file of high impact polystyrene.,Plastic Magazine File - Blue,c6407dae-3422-3bcf-ab5d-b0ef5c4d4926,en
Kraft Paper for Packaging made out of durable 70gsm paper which is strong so you can be rest assured that items are wrapped up safely Send large items in the post wrapped in brown Kraft paper to protect them from any possible damage in the delivery process. Size: 500mmx25m; colour: brown.,Kraft Paper Wrapping Roll,c7beceaa-32a6-302a-8a89-6a68de2c7185,en
"Self-adhesive repositionable notes in star shape in 4 bright colours (neon green, pink, blue and orange); 20 flowers per colour; pack of 4x20; dimensions: 70mmx70mm.",Sticky Notes Shape Star - Assorted,ca366ce2-ee54-34af-afcb-23db042cfe29,en
Strong scissors with ergonomically shaped rubber soft-grip handles; Suitable for left or right handed use; High quality stainless steel blades (Blade size: 20.2cm/8inch); 10 years warranty.,Scissors with Rubber Handles - 202mm,cb2609a4-daff-3762-87df-45a3db84b361,en
"High-quality pencil with ergonomic hexagonal shape and special break-resistant super-bonded lead for long service. Eraser tip of non-toxic heavy metals. Pencil uses wood that is lightweight, soft and easy to sharpen from sustainably managed forests. Includes a handy eraser on the end; PVC- and Latex-free eraser; HB degree; Pack Dimensions: 50x190x20mm.",Pencil with Eraser - Pack of 12,d16c655a-b352-325c-9633-4a0310df716c,en
"High-quality high-volume microfibre clothdesigned for time saving, streak-free cleaning performance with minimum effort. Use this machine washable whiteboard cloth time and time again to keep your whiteboard clean.",Whiteboard Microfibre Cleaning Cloth,d2569b61-2c6f-331a-82d0-2a3ca4927945,en
"Stylish triangular whiteboard marker; bullet nib: 3,0mm.",Marker Pen - Black,d2600621-501b-3ab2-9231-d9a05e4a05a9,en
Durable and elastic rubber band containing 80 percent pure rubber taken from sustainable resources; Size: 63x1.5mm; Great value bag of 200 rubber bands.,Rubber Bands - Bag of 2000,d2d8edbc-ec5d-3e47-ac4c-6b2df0a32c9f,en
This is the ideal desk organizer with lots of compartments keeping all your pens tidy. Not only is this pen container extremely useful but it also adds a touch of style to your desk. Cedar wood with black finish.,Wooden Pen Holder,d47f6a1e-17ee-3c84-bf51-4e089dacf7e9,en
Multi-Pack shock resistant polystyrene letter tray in attractive bright colours and modern design.,Paper Tray - Assorted - Pack of 5,d48381a9-5623-3636-9dbe-51d49470cef6,en
"Attractive office storage cupboard with a strong steel constructions offering secure storage of office stationery and important files. Includes three fully adjustable steel shelves, ideal for box files, lever arch files and office essentials. Strong key locking system. You can store up to 22 lever arch files or 10 box files per shelf. Includes a five year warranty.",Large Cabinet,d6158907-99fe-35e6-8a38-3a73fdb47d50,en
Multipurpose Coloured Paper ideal for volume copying and printing suitable for all office machines; available in a large range of colours; 80gsm.,Multifunctional Printer Paper - Dark Green - 250 Sheets,d667c617-c850-3b92-b7be-09ae1b3f6e4f,en
Great value 20g glue stick; adhesive for paper and card; pack of 3 sticks including name labels; washable and non-toxic; - ideal for school kids.,Medium Glue Stick - 20g - Pack of 3,d679a84b-ee58-3c3b-a7d8-99e06fbeff1a,en
"Self-adhesive removable bookmarks in 5 bright colours (neon orange, pink, yellow, green and blue); 25 notes per colour; Pack of 5x25; dimensions: Each Index measures 11.9mmx43.1mm.",Bookmark Sticky Notes - assorted,d75405ab-dc5f-342d-b2c4-d7fb363b87e2,en
Multi-Pack durable document folders with 2 elastic straps and without flaps for quick filing; Spine Width: 15mm.,Portfolio Files - Assorted - Pack of 4,d7f9ea3a-a91d-3a54-81f6-fac4380230ca,en
Premium wire bound (sidebound) notebook with a stylish wipe-clean polypropylene cover and silver double wire; high quality white 90gsm paper faintly ruled; paper size: A5 (105x148mm) (4.125x5.875in); 160 pages (80 sheets) per pad.,Notebook - Violet,d84ca540-ee68-3f70-a6b5-9ea71ae78139,en
Refillable Dry Wipe Board Eraser; plastic holder with replaceable felt pads.,Whiteboard Eraser,da39d499-300e-3105-9350-5b0f6c973bab,en
"Affordable heavy duty tacker with safety lock handle; sturdy metal body for long-lasting and heavy-duty use in demanding work environments; suitable for stapling paper or fabric; to use with 23/6, 23/8, 23/10 and 23/13 staples; 18,2 cm (L) x 30.0cm (W) x 13,70cm (H) - Weight 0.608kg; 2 years warranty.",Value Staple Gun - Silver,daca60bb-1512-34fb-af44-e38e92b97420,en
"Multi-Pack durable paper over board lever arch file with spine label, two metal rings and locking compressor bar; Reinforced bottom edge; Metal thumb hole for easy retrieval from shelves; Spine Width: 70mm.",Lever Arch File - Assorted - Pack of 5,db1b2070-3169-3daf-9d52-a016232d5c10,en
Premium wire bound (sidebound) notebook with a stylish wipe-clean polypropylene cover and silver double wire; high quality white 90gsm paper faintly ruled; paper size: A5 (105x148mm) (4.125x5.875in); 160 pages (80 sheets) per pad.,Notebook - Green,dd34baf9-e10f-3682-a6da-64fc3d0bb479,en
"Paper Bag with a wide block bottom and expandable gusseted sides made from 100% recyclable paper. The carrier comes with sturdy built-in handles for convenient usage. Thanks to its quality construction, it can also be saved and reused as and when the need arises. Pack of 250. Dimensions: 8x13x10inch or 20.32x33.02x25.4cm; Colour: Brown.",Block-Bottom Paper Carrier - Pack of 250,de943407-98d1-31d7-a978-bcc6e7bb4b96,en
"Multi-Pack premium laminated lever arch file with spine label, two metal rings and locking compressor bar; Reinforced bottom edge; Metal thumb hole for easy retrieval from shelves; Spine Width: 80mm.",Lever Arch File - Black - Pack of 5,e090b110-de52-3b1d-810a-ebba021e5d45,en
"Pack of 3 energy saving LED bulbs with a power of MR11 3W with brightness equivalent to a 35W incandescent bulb; EU Energy Efficiency Class A+; good heat dissipation function, compatible with 99.5% of electronic transformers. Rated 35000hours lifespan, last up to 19 years (based on 5 hours/day usage); 2 YEARS WARRANTY.",Led Bulbs 7W ( 50W Halogen Equivalent) - Pack of 3,e2bb93ac-f533-3a8b-a768-a2187c5e3ba3,en
"Colourful, realistic artificial silk Crotons plant (Codiaeum Variegatum). Comes ready potted in a beautiful stainless steel pot as shown. Impressive range of colours in the foliage. The pot is covered with dried moss for additional effect.",Office Plant - 45 cm,e745dd4b-2279-359d-a1bb-23eae343db66,en
"This high performance super glue guarantees a strong bond in seconds on a wide variety of surfaces like porcelain, ceramic, metal, wood, glass, many types of plastic, leather, rubber, paper and cardboard; the adhesive is transparent and odour-free; content: 5g.",Super Glue,e8ee2618-4fb2-39ad-96be-87d880aaf93d,en
"This stylish metallic silver retractable ballpoint pen features a chrome trim, steel nib, a handy pocket clip and comes presented in an elegant gift box. Comes with a 2 year guarantee. Tip size: 1mm; Ink colour: matt black; refillable.",Silver Ballpoint Pen with Chrome Trim,e96e6eeb-1a0f-320e-9484-dd144236725e,en
"Self-adhesive repositionable notes, that will stick to virtually any surface; dimensions: 7.6cmx7.6cm (3inx3in); pack of 4 pads: neon yellow, neon green, neon orange and neon fuchsia; each pack 100 sheets.",Sticky Notes - Assorted - Pack of 4,ea21c314-4da8-3270-be49-bb9e92b514fe,en
"Clear all-purpose adhesive - easy-to-use - ideal for home, office and/or school; Glues together many materials rapidly and durably, its adhesive bond remains temporarily correctable and it does not wrinkle paper.",Clear Universal Adhesive,ea8dbe70-64d2-3e98-ac4b-cd89d007c0e2,en
"Two-piece, easy self-assembly carton for mailing or archiving A4 size material; WxDxH: 305x215x100mm; White; Pack of 10.",Self Locking Box - Pack of 10,eb0da333-6d5e-3c15-8972-313a26d55954,en
Reliable Lithium CR2032 Coin Battery. Pack of 6.,Lithium Batteries CR2032,eb70ee2b-a402-39e1-8992-932090754f06,en
"The Heavy-Duty Bubble Roll is ideal for cushioning and protecting large and bulky items combining lightness and strength; All-purpose wrap, easy to cut, fold and seal; Bubbles of 10mm diameter and 5mm deep; Roll Size 500mm wide and 10m long.",Heavy-Duty Bubble Wrap,ebd44cd9-1c0b-3379-bf19-28d4058d56dd,en
"Compact and durable heavy-duty glue gun including 5 glue sticks; ready-for-use in only 2 minutes; strong clear all-purpose adhesive; Ideal for bonding wood, metal, fabric, ceramics, masonry, leather, cardboard, PVC; non-toxic.",Hot Glue Gun incl. 5 x 12mm Glue Sticks,ec1eeb44-63f3-30a9-9e7d-9e8d0adfece3,en
Plain white 90gsm envelopes with a blue opaque interior to keep content confidentially and a window; self-seals on its long edge; Size: 110mmx220mm - designed to hold letter sheets folded twice horizontally; the adhesive stays fresh for at least one year; time saving silicone strip ensures hygiene and a super-tight seal; pack of 250.,Business Envelopes with Windows,f0a185ea-b872-3c44-85c6-85d5c24c284c,en
"Stylish filing cabinet made of strong ABS material, non-toxic, odour-free, moistureproof and anti-corrosive; Drawers feature a 100% opening extension, allowing easy access to all files; Accepts foolscap suspension files; Central locking system secures all two drawers with a single key; Supplied with two keys; Smart flush-fitting handles and fitted label-holder; 3 vibrant colours.",Filing Cabinet - 2 drawers,f0cc0c1c-c577-3cbc-b165-258590d9456f,en
Heavy Duty 2-Hole Punch black with a red handle featuring a non-slip plastic base and an adjustable paper guide; double hardened punching cutters ensure precise perforations; Capacity: 40 sheets of 80gsm paper; 15 year warranty.,Heavy Duty Hole Punch - Red,f16dde2b-93f0-3703-8f8c-ec8015239c20,en
"Self-adhesive repositionable notes, that will stick to virtually any surface; dimensions: 7.6cmx7.6cm (3inx3in); pack of 12 pads neon yellow; each pack 90 sheets.",Sticky Notes - Yellow - Pack of 12,f1d00006-94a1-36f2-947a-8c58e4d23ed0,en
"Real leather seat and backrest give this brilliantly affordable chair a prestigious look. Matching faux-leather rear and sides for long-term durability and easy cleaning;  Generously-sized backrest and seat. Chrome metal structure that offers a contemporary design; Tilt lock ï£¿ Locks the angle of the chairs back and seat tilt; Tilt tension, adjustable tension which increases or decreases back and seat tilt resistance; Seat height adjustment 520mm - 600mm; seat 535mm(W)-545mm(D); Back Rest 700mm(H); Maximum user weight 110kg; EN1335 certified. Fire retardant 0,1 & 5 suitable for both business and domestic use; 3-year warranty. Self-assembly; Delivered next working day.",Leather-Faced Executive Chair - Red,f2e54156-8926-35ca-984a-b7a0eddb28bf,en
Natural rubber eraser without addition of plastic materials and phthalates. Soft part (orange) for erasing graphite lines. Hard part (blue) for erasing ink lines and stains.,Natural Rubber Combined Eraser - Pack of 3,f5091d3c-42d9-3b3d-b94f-9f37fea9b10a,en
"Big suction cup with diameter of 70mm, can load more than 10kg; bright contemporary colour; Principle of work: Atmospheric pressure, safely and easy to install and tear off, no need to drill a hole or add glue, without any damage to the surface; can be used on a variety of surfaces, including paint, glasses, wood, ceramic tile, gypsum, and any other smooth surface.",Vacuum Wall Hook - Pack of 6,fc16c43d-bb4e-30db-8b7e-98b3fdc7f0b9,en
Refill Block for Noteholder Cube / 90x90mm / Ca. 750 Coloured Sheets.,Coloured Notepaper - Assorted - 750 Sheets,fd4a85c8-0f8c-3754-b62f-bbca3a613a78,en
"Bright Green 2.3 Ltr Watering Can. Small watering can for use inside or outdoors. Powder coated galvanised steel, very durable & heavy duty. Modern design and colour.",Watering Can,0026fe60-a5a7-3f07-9851-deff001c741e,en
High-quality vinyl coated 50mm paperclips in 6 contemporary colours ideal for colour co-ordinated organising; Great value pack of 200 paper clips.,Vinyl Paper Clips 50mm - Assorted - Pack of 200,008f9b88-e935-3f39-8e79-ab0f0f7e440c,en
Premium desktop sharpener for both standard and maxi/jumbo pencils (up to 10.5mm); Durable sharpening mechanism with 5 settings for various lead sharpness. Sturdy metal body. Movable carriage and anti-slip base with desk clamp for greater precision. Easy to operate using the crank handle and a quick release push button for broken leads. Body colour: Pink.,Pencil Sharpener,0165157e-6a81-372b-b163-92f0789d0759,en
Assorted high-quality coloured paper; 80gsm; 5 colours; 250 sheet.,Premium Coloured Printer Paper - Assorted 5 colours - 250 Sheet,02e77154-c39b-3fd3-89aa-8e138732bd51,en
"Self-adhesive repositionable notes in flower shape in 4 bright colours (red, blue, yellow and green); 20 flowers per colour; pack of 4x20; dimensions: 70mmx70mm.",Sticky Notes Shape Flower - Assorted,03607f53-f3f6-3070-9e19-7a9bd462b088,en
Striking and stylish magazine file of high impact polystyrene.,Plastic Magazine File - Pink,03b5f282-9d96-3474-bb48-0036723ca7b7,en
"Contemporary pencil cup made from 100% recyclable and shock resistant polystyrene, Includes 4 compartments for separating items; vibrant translucent accessories to brighten up your desk; Capacity 32 pens; part of a wide range of matching desk accessories.",State-of-the-art Pencil Holder,04f207d8-1337-3f13-8663-722868a5313d,en
"Heavy-duty low-noise general purpose tape for sealing medium-to-heavy weight packages without much noise. Thickness: 65 microns thick; Width: 48mm, each roll contains 66meters of tape.",Brown Packaging Tape,05950140-8017-30c2-9b84-403f435089af,en
"Sharp metal push pin with a raised coloured head in easy grip design and in opaque colours (red, green, yellow and blue) ideal to fasten documents on display boards - Total length including pin 24mm - Great value pack of 100.",Push Pins - 24 mm - Assorted Colours - Pack of 100,06ff8f59-a281-31ab-bbae-7a9d9b33920a,en
"Great value copy and multipurpose paper, 80gsm; CIE Whiteness 150.",Copy and Multipurpose Paper - White - 500 Sheets,07d75d6e-aad4-337c-92a6-a0513cc815cb,en
"Contemporary, eye-appealing visitor chair; Seat in vibrant colours on an attractive light-weight wood and metal base; Tough, hard wearing nylon seat structure means that the chair is easy to clean; Ideal visitor and breakout chair; These chairs are stackable and come in a pack of 4; Stylish, practical and comfortable.",Visitor Chair - Green,08f783c6-ed72-3d52-b7eb-34997ea56154,en
Top-design high-quality coffee mug - ideal for a comforting moment; Pack: 6; Material: Porcelain - durable dishwasher and microwave-safe porcelain that cleans easily and is ideal for everyday service. Comes in two bright colours.,Coffee Mug,0e53e9d6-feff-39d9-8b6c-2cea5ebfe77b,en
Shock resistant transparent Noteholder Cube with Approx 750 White Sheets - 90x90mm.,White Notepaper Sheets in Cube - White - 750 Sheets,10c069ec-0288-309b-b998-e6548b908b2f,en
"Premium, heavyweight, edge bonded microfibre cloths; Machine washable up to 500 times dependent on use; High absorption of liquids; Size: 400mmx400mm; Colour: Blue; Pack of 5.",Microfibre Cleaning Cloth - Pack of 5,11996422-745f-3dcb-9256-29c0872dc99f,en
Headbound Memo Pad with plain unpunched white 70gsm pages; Glued on top to easily tear off the page; paper size: A6 (105x148 mm) (4.125x5.875in); 160 pages (80 sheets) per pad.,Memo Pad - Blank,11cad209-a876-3eba-81f3-c379054ac997,en
Premium wire bound (sidebound) notebook with a stylish wipe-clean polypropylene cover and silver double wire; high quality white 90gsm paper faintly ruled; paper size: A5 (105x148mm) (4.125x5.875in); 160 pages (80 sheets) per pad.,Notebook - Red,11e6ffaa-d8e6-3b74-a35f-c833613bc1da,en
Headbound Memo Pad with unpunched white 70gsm pages with faint ruling; Glued on top to easily tear off the page; paper size: A4 (210X297mm) (8.25X11.75in); 160 pages (80 sheets) per pad.,Memo Pad - Ruled,122952e5-bf62-33ec-aece-f9aa7d2b3132,en
"Self-adhesive removable arrows in 5 bright colours (neon pink, orange, yellow, green and blue) for indexing purposes; 1 dispenser with 100 small indices; 20 flags per colour; Pack of 5x20.",Index Arrows - Assorted,1253ef15-ca4c-3acb-8fc8-8bfa71314170,en
"Strong jute twine to secure your parcels, boxes and packages; role of 750m durable 3-ply twine.",Jute Twine for Packaging,137b0e2a-c8bc-3247-96b5-d44d60c10ea5,en
"Large 40g Glue Stick; adhesive for paper and card; washable and non-toxic; ideal for school, office and home usage.",Large Glue Stick - 40g,13b57083-aca1-379a-b61a-f5e13847cbbf,en
